label,Turbidity,pH,Rainfall,Nitrogen,Phosphorus,Potassium,Humidity
Maize,3.181137255566576,7.00102323210648,716.6972460726632,146.26457595312883,44.127907142109656,119.49329971400245,79.71807360984877
Rice,2.3281297931951657,5.798632391373275,2029.7095378235185,185.8348606820527,31.108691850473583,97.64822728708506,81.97800070151439
Wheat,1.103040741646151,6.869805149834314,792.5551254940744,122.52474940242337,42.53408955171727,121.24274216757028,60.71168001907896
Rice,1.805337358159003,5.337620737244642,1895.596568071524,165.87709774473228,32.01955337441707,84.08305342965002,83.8505074500015
Maize,4.080375595090092,6.706701705004842,663.5147956362208,103.63605684586503,45.03652658209496,120.20002563162063,70.34378930524687
Wheat,4.432714117522921,5.772158027727963,545.6781013048083,58.19872230554479,38.54718514068176,75.97806287647457,66.45991472228283
Rice,1.8904138675824562,5.3497887253682705,2756.502311043567,157.01115098433314,44.81419118430625,85.74851321454386,84.70465773419527
Tulsi,4.057872022239628,6.075906368344959,599.9574716841494,127.11573564988069,61.08580983254389,74.43202398024621,67.69713313848337
Rice,1.8220639953806526,5.477851644036156,1520.8628973889618,124.55615904139415,46.575642260231085,91.55964680570364,81.60245392606758
Tulsi,0.591802413379319,6.377329332891627,792.392606731672,120.45334416527388,50.899473043836046,104.69104216888636,71.27050472453821
Rice,2.964135509182407,5.050048568469325,2358.6112125453583,142.5969359080042,51.37465168207325,101.08577354472641,86.93496155085518
Apple,1.7621553996734658,5.906840662989985,931.3620788553679,129.51616941547417,54.14562938821349,80.41447885893673,66.97529824979952
Maize,3.1363886751441825,6.547105954732512,599.8063543667165,98.1691298496954,33.60766983265228,127.53458874656674,69.28258276215347
Maize,2.6484208726322334,6.5636702258644615,694.7045025604351,113.31210064097343,63.924423638309534,98.91829631385508,67.52496481237898
Money Plant,4.83294963665121,6.428998822881988,662.367276846691,95.6586571044928,57.65679681291064,90.28367462443691,78.49237756442434
Apple,2.155950226060775,5.880993100283793,839.879342041372,145.56985179536014,57.97775486109488,78.60205247937799,63.68988072687623
Maize,4.394099655864026,7.09944688760413,524.254124982405,92.5817564317961,50.17557550024735,84.54929923225578,64.58879889740136
Tea,0.7251673072330473,6.166878994729258,856.525510809028,94.45460245739993,52.65689932303565,100.69979861814586,71.23512422205292
Maize,2.2754365357659565,6.081681025086302,906.5122496204588,98.0718784523151,48.50662906598825,105.32477500009412,70.91967357083718
Tulsi,1.9718325675983064,6.038008426983347,821.0966831655703,111.2781524452405,65.60549973044303,71.88547847987697,67.83640016997954
Money Plant,0.9030386518970583,6.446980836444057,660.7849666180567,132.19652310981076,47.77338801854083,92.27401106516412,74.67709908907233
Maize,4.683002673895922,6.8747346992891405,854.5378961749725,101.04748346438049,35.4647869693957,81.50266661475699,66.82596386468927
Coffee,3.2583903061803134,6.292930303954093,945.649993381776,98.9056770155928,60.392344685043355,75.37245548478433,64.30525510742721
Maize,2.040963441409171,6.9725155382237975,513.3880862484078,112.49725778789616,36.025484293454475,127.90310086339899,68.02829772275257
Apple,2.861819718824242,6.8917198756231635,951.9895616517751,86.15287310585975,57.31611457100952,72.54466263213577,77.13323682721388
